"मनोबुद्ध्यहंकारचित्तानि नाहं
न च श्रोत्रजिह्वे न च घ्राणनेत्रे।

न च व्योमभूमि-र्न तेजो न वायुः
चिदानंदरूपः शिवोऽहं शिवोऽहम्॥१॥","मैं मन, बुद्धि, अहंकार और स्मृति नहीं हूँ, न मैं कान, जिह्वा, नाक और आँख हूँ। न मैं आकाश, भूमि, तेज और वायु ही हूँ, मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥१॥","I am not mind, intellect, ego or repository of memories. I am not ear, tongue, nose or the eyes. I am not space, earth, fire or
air. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥1॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"न च प्राणसंज्ञो न वै पञ्चवायुः 
न वा सप्तधातु-र्न वा पञ्चकोशाः।

न वाक्पाणिपादं न चोपस्थपायू 
  चिदानंदरूपः शिवोऽहं शिवोऽहम् ॥२॥","न मैं मुख्य प्राण हूँ और न ही मैं पञ्च प्राणों (प्राण, उदान, अपान,
व्यान, समान) में  कोई हूँ, न मैं सप्त धातुओं (त्वचा, मांस, मेद, रक्त,
पेशी, अस्थि, मज्जा) में कोई हूँ और न पञ्च कोशों (अन्नमय, मनोमय,
प्राणमय, विज्ञानमय, आनंदमय) में से कोई, न मैं वाणी, हाथ, पैर हूँ और न
मैं जननेंद्रिय या गुदा हूँ, मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥२॥","I am not principal life force (prana) or any of the five pranas (Prana, udana, apana, vyan, saman). I am not any of the seven constituents (skin, flesh, fat, blood, muscle, bone, marrow) of the body or any of the five sheaths (annamaya, manomaya, pranamaya, vigyanmaya, anandmaya). I am not speech, hands, feet, genitals or anus. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥2॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"न मे द्वेषरागौ  न मे लोभ मोहौ
मदो नैव मे नैव मात्सर्यभावः।

न धर्मो न चार्थो न कामो न मोक्षः
चिदानंदरूपः शिवोऽहं शिवोऽहम्॥३॥","न मुझमें राग और द्वेष हैं, न ही लोभ और मोह, न ही मुझमें मद है न ही ईर्ष्या की  भावना, न मुझमें धर्म, अर्थ, काम और मोक्ष ही हैं, मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥३॥","I am devoid of aversion, attachment, greed,
delusion, pride or jealousy. I am beyond four major goals of life, righteousness, wealth,
pleasure or liberation. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥3॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"न पुण्यं  न पापं न सौख्यं न दुःखम्
न मंत्रो न तीर्थ न वेदा न यज्ञाः।

अहं भोजनं नैव भोज्यं न भोक्ता 
चिदानंदरूपः शिवोऽहं शिवोऽहम्॥४॥","न मैं पुण्य हूँ, न पाप, न सुख और न दुःख, न मन्त्र, न तीर्थ, न वेद और न
यज्ञ, मैं न भोजन हूँ, न खाया जाने वाला हूँ और न खाने वाला हूँ, मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥४॥","I am beyond virtues, sins, joy or
sorrow. I am beyond mantras, pilgrimage, Vedas or
yagyas. I am not food, eatable, or its eater. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥4॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"न मे मृत्युशंका न मे जातिभेदः
पिता नैव मे नैव माता न जन्म।

न बन्धुर्न मित्रं गुरुर्नैव शिष्यः
चिदानंदरूपः शिवोऽहं शिवोऽहम् ॥५॥","न मुझे मृत्यु का भय है, न मुझमें जाति का कोई भेद है, न मेरा कोई पिता ही
है, न कोई माता ही है, न मेरा जन्म हुआ है, न मेरा कोई भाई है, न कोई
मित्र, न कोई गुरु ही है और न ही कोई शिष्य,  मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥५॥","I have no fear of death or distinction of caste. I have no
father or mother. I am unborn. I have no brothers, friends, master or disciples. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥5॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"अहं निर्विकल्पो निराकाररूपः
विभुर्व्याप्य सर्वत्र सर्वेन्द्रियाणाम्।

सदा मे समत्वं न मुक्तिर्न बन्धः
चिदानंदरूपः शिवोऽहं शिवोऽहम्॥६॥","मैं समस्त संदेहों से परे, बिना किसी आकार वाला, सर्वगत, सर्वव्यापक, सभी
इन्द्रियों को व्याप्त करके स्थित हूँ, मैं सदैव समता में स्थित हूँ, न
मुझमें मुक्ति है और न बंधन, मैं चैतन्य रूप हूँ, आनंद हूँ, शिव हूँ, शिव हूँ ॥६॥","I am beyond all doubts, formless, all-pervading, everywhere and surround all sense organs. I am always established in equanimity. There is
no liberation or bondage in me. I am of the form of aliveness, eternal bliss, auspiciousness. I am Shiva. ॥6॥",,,,,,,,,,,,,,,,,,तेनेशस्य विधीयताम-पचितिकाम्ये मतिस्त्यज्यताम्।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"आत्मेच्छा व्यवसीयतां निज गृहात्तूर्णं विनिर्गम्यताम्॥१॥""","वेदों का नियमित अध्ययन करें, उनमें निर्देशित (कहे गए) कर्मों का पालन
करें, उस परम प्रभु के विधानों (नियमों)  का पालन करें, व्यर्थ के कर्मों
में बुद्धि को न लगायें। समग्र पापों  को जला दें, इस संसार के सुखों में छिपे हुए दुखों को देखें, आत्म-ज्ञान के लिए प्रयत्नशील रहें, अपने घर की आसक्ति को शीघ्र त्याग दें ॥१॥",Study the Vedas regularly. Abide by the actions mentioned there. Be disciplined as per Lord's rules. Keep your mind away from unnecessary actions. Burn all your sins. Scrutinize the pleasures of this world to know that they are surrounded by pain. Constantly try for Self-Knowledge. Give up the attachment for home promptly. ॥1॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"संगः सत्सु  विधीयतां भगवतो भक्ति: दृढाऽऽधीयतां,  
शान्त्यादिः परिचीयतां दृढतरं  कर्माशु संत्यज्यताम्।  
सद्विद्वानुपसृप्यतां प्रतिदिनं तत्पादुका सेव्यतां, 
ब्रह्मैकाक्षरमर्थ्यतां श्रुतिशिरोवाक्यं समाकर्ण्यताम्॥२॥","सज्जनों का साथ करें, प्रभु में भक्ति को दृढ़
करें, शांति आदि गुणों का सेवन करें, कठोर कर्मों का परित्याग करें, सत्य
को जानने वाले विद्वानों की शरण लें, प्रतिदिन उनकी चरण पादुकाओं की पूजा
करें, ब्रह्म के एक अक्षर वाले नाम ॐ के अर्थ पर विचार करें, उपनिषदों के
महावाक्यों को सुनें ॥२॥","Be in the company of noble men. Make yourself further established in devotion to Lord. Practice virtues like peace etc., stop harder activities. Take refuge in the persons knowing the absolute truth, serve his feet. Contemplate on single syllable name (Om) of the Lord. Listen principal declarations of Upanishads. ॥2॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"वाक्यार्थश्च विचार्यतां श्रुतिशिरःपक्षः समाश्रीयतां,
दुस्तर्कात् सुविरम्यतां श्रुतिमतस्तर्कोऽनुसंधीयताम्।  
ब्रम्हास्मीति विभाव्यता-महरहर्गर्वः परित्यज्यताम्  
देहेऽहंमति रुझ्यतां बुधजनैर्वादः परित्यज्यताम्॥३॥","वाक्यों के अर्थ पर विचार करें, श्रुति के प्रधान पक्ष का अनुसरण करें,
कुतर्कों से दूर रहें, श्रुति पक्ष के तर्कों का विश्लेषण करें, मैं
ब्रह्म हूँ ऐसा विचार करते हुए मैं रुपी अभिमान का त्याग करें, मैं शरीर
हूँ, इस भाव का त्याग करें, बुद्धिमानों से वाद-विवाद न करें ॥३॥","Contemplate on the meaning of Mahavakyas of Upanishads, take the side of main sayings of  Upanishads. Avoid  perverse arguments and  scrutinize the logic of the arguments abiding by Upanishads. Keep remembering 'I am Brahman' and leave aside the egoistic 'I'. Destroy the misconception - 'I am this body'. Do not argue with wise men. ॥3॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"क्षुद्व्याधिश्च चिकित्स्यतां प्रतिदिनं भिक्षौषधं भुज्यतां, 
स्वाद्वन्नं न तु याच्यतां विधिवशात् प्राप्तेन संतुष्यताम्।   
शीतोष्णादि विषह्यतां न तु वृथा वाक्यं समुच्चार्यतां औदासीन्यमभीप्स्यतां जनकृपानैष्ठुर्यमुत्सृज्यताम्॥४॥","भूख को रोग समझते हुए प्रतिदिन भिक्षा रूपी औषधि का सेवन करें, स्वाद के
लिए अन्न की याचना न करें, भाग्यवश जो भी प्राप्त हो उसमें ही संतुष्ट
रहें| सर्दी-गर्मी आदि विषमताओं को सहन करें, व्यर्थ वाक्य न बोलें,
निरपेक्षता की इच्छा करें, लोगों की कृपा और निष्ठुरता से दूर रहें ॥४॥","Treating hunger as a disease, take the medicine in the form of begged food daily. Do not strive for delicious food. Be content with whatever you get as per rule. Endure heat and cold, and the like. Avoid speaking unnecessarily. Wish for being indifferent. Maintain distance from the kindness and harshness of the common men. ॥4॥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
